Iteration,Discriminator Loss,Generator Loss
1960,1.241266,0.519595
1970,1.234844,0.563610
1970,1.234844,0.563610
1980,1.208893,0.586116
1980,1.208893,0.586116
1990,1.250196,0.578205
1990,1.250196,0.578205
2000,1.199135,0.553178
2000,1.199135,0.553178
2010,1.253312,0.547979
2010,1.253312,0.547979
2020,1.224915,0.539117
2020,1.224915,0.539117
2030,1.234129,0.598260
2030,1.234129,0.598260
2040,1.198564,0.559053
2040,1.198564,0.559053
2050,1.220098,0.592113
2050,1.220098,0.592113
2060,1.252385,0.565943
2060,1.252385,0.565943
2070,1.296572,0.754821
2070,1.296572,0.754821
2080,1.211193,0.604538
2080,1.211193,0.604538
2090,1.268259,0.598234
2090,1.268259,0.598234
2100,1.235170,0.530260
2100,1.235170,0.530260
2110,1.214313,0.543289
2110,1.214313,0.543289
2120,1.250858,0.569407
2120,1.250858,0.569407
2130,1.293825,0.558683
2130,1.293825,0.558683
2140,1.243508,0.552521
2140,1.243508,0.552521
2150,1.202877,0.589825
2150,1.202877,0.589825
2160,1.152531,0.529209
2160,1.152531,0.529209
2170,1.266151,0.526646
2170,1.266151,0.526646
2180,1.260562,0.586853
2180,1.260562,0.586853
2190,1.208779,0.533116
2190,1.208779,0.533116
2200,1.238846,0.540516
2200,1.238846,0.540516
2210,1.219714,0.598403
2210,1.219714,0.598403
2220,1.084668,0.514065
2220,1.084668,0.514065
2230,1.167500,0.539018
2230,1.167500,0.539018
2240,1.068158,0.494430
2240,1.068158,0.494430
2250,1.167574,0.531991
2250,1.167574,0.531991
2260,1.120268,0.513899
2260,1.120268,0.513899
2270,1.264121,0.609852
2270,1.264121,0.609852
2280,1.123856,0.531273
2280,1.123856,0.531273
2290,1.138070,0.519336
2290,1.138070,0.519336
2300,1.138388,0.516360
2300,1.138388,0.516360
2310,1.145355,0.542953
2310,1.145355,0.542953
2320,1.095131,0.519865
2320,1.095131,0.519865
2330,1.116641,0.579054
2330,1.116641,0.579054
2340,1.217917,0.537065
2340,1.217917,0.537065
2350,1.114754,0.511970
2350,1.114754,0.511970
2360,1.185744,0.570716
2360,1.185744,0.570716
2370,1.174931,0.520159
2370,1.174931,0.520159
2380,1.252837,0.615586
2380,1.252837,0.615586
2390,1.194454,0.570040
2390,1.194454,0.570040
2400,1.268846,0.582210
2400,1.268846,0.582210
2410,1.165470,0.458035
2410,1.165470,0.458035
2420,1.101937,0.504273
2420,1.101937,0.504273
2430,1.225337,0.546418
2430,1.225337,0.546418
2440,1.163767,0.519387
2440,1.163767,0.519387
2450,1.182423,0.511508
2450,1.182423,0.511508
2460,1.241971,0.565399
2460,1.241971,0.565399
2470,1.185631,0.557723
2470,1.185631,0.557723
2480,1.185105,0.549749
2480,1.185105,0.549749
2490,1.167420,0.613247
2490,1.167420,0.613247
2500,1.234112,0.613551
2500,1.234112,0.613551
2510,1.199339,0.504769
2510,1.199339,0.504769
2520,1.247798,0.587003
2520,1.247798,0.587003
2530,1.205188,0.574180
2530,1.205188,0.574180
2540,1.208366,0.607478
2540,1.208366,0.607478
2550,1.186336,0.612127
2550,1.186336,0.612127
2560,1.221624,0.753469
2560,1.221624,0.753469
2570,1.268572,0.547624
2570,1.268572,0.547624
2580,1.263045,0.605315
2580,1.263045,0.605315
2590,1.301858,0.601359
2590,1.301858,0.601359
2600,1.175319,0.629510
2600,1.175319,0.629510
2610,1.200262,0.580006
2610,1.200262,0.580006
2620,1.236161,0.607044
2620,1.236161,0.607044
2630,1.258785,0.612307
2630,1.258785,0.612307
2640,1.151039,0.437280
2640,1.151039,0.437280
2650,1.263325,0.684841
2650,1.263325,0.684841
2660,1.292710,0.676189
2660,1.292710,0.676189
2670,1.218190,0.577130
2670,1.218190,0.577130
2680,1.278995,0.572397
2680,1.278995,0.572397
2690,1.208663,0.558164
2690,1.208663,0.558164
2700,1.259252,0.593901
2700,1.259252,0.593901
2710,1.275283,0.556656
2710,1.275283,0.556656
2720,1.224804,0.560102
2720,1.224804,0.560102
2730,1.279064,0.570175
2730,1.279064,0.570175
2740,1.290682,0.613364
2740,1.290682,0.613364
2750,1.187340,0.564990
2750,1.187340,0.564990
2760,1.229968,0.638240
2760,1.229968,0.638240
2770,1.300741,0.660974
2770,1.300741,0.660974
2780,1.260029,0.599325
2780,1.260029,0.599325
2790,1.345333,0.665310
2790,1.345333,0.665310
2800,1.288588,0.621254
2800,1.288588,0.621254
2810,1.297789,0.670831
2810,1.297789,0.670831
2820,1.305633,0.605106
2820,1.305633,0.605106
2830,1.283396,0.601581
2830,1.283396,0.601581
2840,1.312284,0.616793
2840,1.312284,0.616793
2850,1.320545,0.646988
2850,1.320545,0.646988
2860,1.234193,0.545327
2860,1.234193,0.545327
2870,1.281989,0.605885
2870,1.281989,0.605885
2880,1.287321,0.692231
2880,1.287321,0.692231
2890,1.284235,0.595402
2890,1.284235,0.595402
2900,1.299123,0.597810
2900,1.299123,0.597810
2910,1.326810,0.639746
2910,1.326810,0.639746
2920,1.317445,0.642855
2920,1.317445,0.642855
2930,1.297199,0.634706
2930,1.297199,0.634706
2940,1.199584,0.524357
2940,1.199584,0.524357
2950,1.217606,0.580899
2950,1.217606,0.580899
2960,1.200058,0.701078
2960,1.200058,0.701078
2970,1.292978,0.616510
2970,1.292978,0.616510
2980,1.307060,0.571960
2980,1.307060,0.571960
2990,1.301626,0.567697
2990,1.301626,0.567697
3000,1.297067,0.570813
3000,1.297067,0.570813
3010,1.344410,0.650376
3010,1.344410,0.650376
3020,1.275374,0.682607
3020,1.275374,0.682607
3030,1.309829,0.631067
3030,1.309829,0.631067
3040,1.273324,0.618049
3040,1.273324,0.618049
3050,1.300125,0.638311
3050,1.300125,0.638311
3060,1.305576,0.640570
3060,1.305576,0.640570
3070,1.251365,0.579881
3070,1.251365,0.579881
3080,1.282777,0.627277
3080,1.282777,0.627277
3090,1.291769,0.585775
3090,1.291769,0.585775
3100,1.279518,0.688641
3100,1.279518,0.688641
3110,1.258492,0.544234
3110,1.258492,0.544234
3120,1.316471,0.671216
3120,1.316471,0.671216
3130,1.308708,0.632696
3130,1.308708,0.632696
3140,1.264673,0.739002
3140,1.264673,0.739002
3150,1.284705,0.803147
3150,1.284705,0.803147
3160,1.268124,0.594209
3160,1.268124,0.594209
3170,1.254987,0.470506
3170,1.254987,0.470506
3180,1.290022,0.720669
3180,1.290022,0.720669
3190,1.266334,0.579007
3190,1.266334,0.579007
3200,1.346823,0.601101
3200,1.346823,0.601101
3210,1.276943,0.608241
3210,1.276943,0.608241
3220,1.308296,0.699342
3220,1.308296,0.699342
3230,1.293987,0.879375
3230,1.293987,0.879375
3240,1.265765,0.875191
3240,1.265765,0.875191
3250,1.269271,0.571600
3250,1.269271,0.571600
3260,1.266732,0.615793
3260,1.266732,0.615793
3270,1.307617,0.695679
3270,1.307617,0.695679
3280,1.291609,0.618359
3280,1.291609,0.618359
3290,1.294239,0.654157
3290,1.294239,0.654157
3300,1.275437,0.648884
3300,1.275437,0.648884
3310,1.270201,0.595620
3310,1.270201,0.595620
3320,1.353574,0.645025
3320,1.353574,0.645025
3330,1.314546,0.661036
3330,1.314546,0.661036
3340,1.291269,0.608065
